Ref,Qnty,Value,Cmp name,Vendor
"BT1, ",1,CR2032_Holder,Battery_Cell,DK: BS-7-ND
"C1, ",1,100nf,C,C49678
"D1, D2, ",2,1N4148,1N4148W,C81598
"D3, D4, D5, D6, D7, D8, ",6,White LED,LED,DK: 1516-QBL7IW60D-WW-ND
"J1, ",1,ISP Connector,ISP_Connector,DK: S2012EC-03-ND
"JP1, ",1,Jumper_NC_Small,Jumper_NC_Small,
"Q1, ",1,IRLML2244,IRLML6402,C169763
"Q2, ",1,IRLML6244,IRLML2060,C143946
"R1, R2, ",2,1M,R_US,C17514
"SW1, ",1,POWER,SW_Push,DK: EG1833-ND
"SW2, ",1,MODE,SW_Push,DK: EG1833-ND
"TP1, ",1,VCCTestPoint,TestPoint,
"TP2, ",1,GndTestPoint,TestPoint,
"TP3, ",1,D8TestPoint,TestPoint,
"U1, ",1,ATtiny44A-SSU,ATtiny84A-PU, C412819
